Document Title,Abstract,Year,PDF Link,label,doi,nCites,authorCount,aggregationType
Determinants of object‐in‐context and object‐place‐context recognition in the developing rat,"AbstractSince the seminal report on novel object recognition in the rat (Ennaceur &amp; Delacour, 1988), novelty recognition paradigms have become increasingly prevalent in learning and memory research. Novelty recognition tasks do not require extensive training or complex behaviors, and thus are especially suitable for studying the ontogeny of various forms of memory (e.g., object, spatial, and contextual memory). However, relatively little is known about the determinants of recognition memory during development. The present study extends our recent research on the development of recognition memory by further characterizing the ontogeny of contextual recognition (Ramsaran, Westbrook, &amp; Stanton, 2016). We report that long‐term retention of object‐in‐context (OiC) memory emerges during early development in the rat (Experiment 1), and that performance of object‐place‐context (OPC), a spatial variant of the OiC task, also displays protracted development until early adolescence (Experiment 2). In addition, we examined the role of NMDA receptors (NMDARs) in contextual recognition and found that OiC memory is not dependent on NMDAR‐mediated plasticity whereas performance of spatial task variants including the distal cue OiC (Ramsaran et al., 2016) and OPC tasks are NMDAR‐dependent (Experiments 3 and 4). The ontogeny of contextual recognition is influenced by memory retention and spatial processing demands, which may also determine the neurobiological mechanisms supporting task performance.",2016,https://doi.org/10.1002/dev.21432,no,10.1002/dev.21432,25,3,undetermined
Ontogeny of object-in-context recognition in the rat,N/A,2016,https://doi.org/10.1016/j.bbr.2015.04.011,no,10.1016/j.bbr.2015.04.011,34,3,undetermined
Relative recency influences object-in-context memory,N/A,2015,https://doi.org/10.1016/j.bbr.2014.12.024,no,10.1016/j.bbr.2014.12.024,11,3,undetermined
Blockade of hippocampal bradykinin B1 receptors improves spatial learning and memory deficits in middle-aged rats,N/A,2017,https://doi.org/10.1016/j.bbr.2016.08.041,no,10.1016/j.bbr.2016.08.041,14,10,undetermined
"Dentate gyrus supports slope recognition memory, shades of grey-context pattern separation and recognition memory, and CA3 supports pattern completion for object memory",N/A,2016,https://doi.org/10.1016/j.nlm.2015.08.010,no,10.1016/j.nlm.2015.08.010,33,5,undetermined
Recognition memory is selectively impaired in adult rats exposed to binge-like doses of ethanol during early postnatal life,N/A,2016,https://doi.org/10.1016/j.alcohol.2016.09.027,no,10.1016/j.alcohol.2016.09.027,14,5,undetermined
Co-morbid beta-amyloid toxicity and stroke produce impairments in an ambiguous context task in rats without any impairment in spatial working memory,N/A,2015,https://doi.org/10.1016/j.nlm.2015.01.001,no,10.1016/j.nlm.2015.01.001,5,4,undetermined
Sleep enhances inhibitory behavioral control in discrimination learning in rats,N/A,2014,https://doi.org/10.1007/s00221-013-3797-5,no,10.1007/s00221-013-3797-5,11,5,undetermined
Evidence of a role for orbital prefrontal cortex in preventing over-generalization to moderate predictors of biologically significant events,N/A,2017,https://doi.org/10.1016/j.neuroscience.2016.10.017,no,10.1016/j.neuroscience.2016.10.017,13,6,undetermined
Disconnection of the Perirhinal and Postrhinal Cortices Impairs Recognition of Objects in Context But Not Contextual Fear Conditioning,"The perirhinal cortex (PER) is known to process object information, whereas the rodent postrhinal cortex (POR), homolog to the parahippocampal cortex in primates, is thought to process spatial information. A number of studies, however, provide evidence that both areas are involved in processing contextual information. In this study, we tested the hypothesis that the rat POR relies on object information received from the PER to form complex representations of context. Using three fear-conditioning (FC) paradigms (signaled, unsignaled, and renewal) and two context-guided object recognition tasks (with 3D and 2D objects), we examined the effects of crossed excitotoxic lesions to the POR and the contralateral PER. Performance of rats with crossed lesions was compared with that of rats with ipsilateral POR plus PER lesions and sham-operated rats. We found that rats with contralateral PER–POR lesions were impaired in object–context recognition but not in contextual FC. Therefore, interaction between the POR and PER is necessary for context-guided exploratory behavior but not for associating fear with context. Our results provide evidence for the hypothesis that the POR relies on object and pattern information from the PER to encode representations of context. The association of fear with a context, however, may be supported by alternate cortical and/or subcortical pathways when PER–POR interaction is not available. Our results suggest that contextual FC may represent a special case of context-guided behavior.SIGNIFICANCE STATEMENTRepresentations of context are important for perception, memory, decision making, and other cognitive processes. Moreover, there is extensive evidence that the use of contextual representations to guide appropriate behavior is disrupted in neuropsychiatric and neurological disorders including developmental disorders, schizophrenia, affective disorders, and Alzheimer's disease. Many of these disorders are accompanied by changes in parahippocampal and hippocampal structures. Understanding how context is represented in the brain and how parahippocampal structures are involved will enhance our understanding and treatment of the cognitive and behavioral symptoms associated with neurological disorders and neuropsychiatric disease.",2017,https://doi.org/10.1523/jneurosci.0254-17.2017,no,10.1523/jneurosci.0254-17.2017,30,5,undetermined
Retroactive interference of object‐in‐context long‐term memory: Role of dorsal hippocampus and medial prefrontal cortex,"ABSTRACTRetroactive interference (RI) is a type of amnesia in which a new learning experience can impair the expression of a previous one. It has been studied in several types of memories for over a century. Here, we aimed to study in the long‐term memory (LTM) formation of an object‐in‐context task, defined as the recognition of a familiar object in a context different to that in which it was previously encountered. We trained rats with two sample trials, each taking place in a different context in association with different objects. Test sessions were performed 24 h later, to evaluate LTM for both object‐context pairs using separate groups of trained rats. Furthermore, given the involvement of hippocampus (Hp) and medial prefrontal cortex (mPFC) in several recognition memories, we also analyzed the participation of these structures in the LTM formation of this task by the local infusion of muscimol. Our results show that object‐in‐context LTM formation is sensitive to RI by a different either familiar or novel object‐context pair trial, experienced 1 h later. This interference occurs in a restricted temporal window and works on the LTM consolidation phase, leaving intact short‐term memory expression. The second sample trial did not affect the object recognition part of the memory. Besides, muscimol treatment before the second sample trial blocks its object‐in‐context LTM and restores the first sample trial memory. We hypothesized that LTM‐RI amnesia is probably caused by resources or cellular machinery competition in these brain regions when they are engaged in memory formation of the traces. In sum, when two different object‐in‐context memory traces are being processed, the second trace interferes with the consolidation of the first one requiring mPFC and CA1 dorsal Hp activation. © 2014 Wiley Periodicals, Inc.",2014,https://doi.org/10.1002/hipo.22328,no,10.1002/hipo.22328,55,4,undetermined
"Systemic lipopolysaccharide administration impairs retrieval of context–object discrimination, but not spatial, memory: Evidence for selective disruption of specific hippocampus-dependent memory functions during acute neuroinflammation",N/A,2015,https://doi.org/10.1016/j.bbi.2014.09.014,no,10.1016/j.bbi.2014.09.014,121,4,undetermined
Early Exposure to Volatile Anesthetics Impairs Long-Term Associative Learning and Recognition Memory,N/A,2014,https://doi.org/10.1371/journal.pone.0105340,no,10.1371/journal.pone.0105340,44,5,undetermined
Cisplatin-induced mitochondrial dysfunction is associated with impaired cognitive function in rats,N/A,2017,https://doi.org/10.1016/j.freeradbiomed.2016.11.046,no,10.1016/j.freeradbiomed.2016.11.046,144,5,undetermined
